"location_id","country","peril","postcode","tiv","sra_adj","deductible","limit"
"LOC001","Spain","flood",49705,2770000,1.2,5000,2665000
"LOC002","Italy","fire",76882,2901000,1,10000,1886000
"LOC003","France","flood",64421,1737000,1,0,686000
"LOC004","Italy","theft",83081,1711000,1,5000,1554000
"LOC005","Italy","flood",23047,1086000,1,0,482000
"LOC006","Italy","flood",30577,318000,0.9,0,301000
"LOC007","France","flood",38659,1285000,0.9,10000,1183000
"LOC008","France","flood",98648,2172000,0.9,1000,859000
"LOC009","Italy","flood",36588,1785000,1.2,0,1517000
"LOC010","Spain","theft",21557,897000,1.1,500,554000
"LOC011","Spain","flood",86659,1086000,1.2,10000,429000
"LOC012","France","theft",69704,1090000,1,0,1002000
"LOC013","Spain","flood",24010,317000,0.9,10000,170000
"LOC014","France","flood",86465,717000,1.1,10000,375000
"LOC015","France","theft",66310,1295000,1,0,755000
"LOC016","Spain","flood",6674,2133000,0.9,500,1355000
"LOC017","Italy","flood",70968,719000,0.9,1000,401000
"LOC018","Italy","fire",5634,814000,0.9,500,510000
