"location_id","country","peril","postcode","tiv","sra_adj","deductible","limit","country_factor","base_rate","base_premium","layer_share","exposure_premium","experience_premium","risk_premium","model_price","total_incurred","n_claim_years","exposure_premium_total","credibility","expenses_factor"
"LOC001","Spain","flood",49705,2770000,1.2,5000,2665000,0.95,0.0012,3789.36,0.96028880866426,3638.88,26433.156581195,15036.0182905975,18795.0228632469,598416,3,27460.00725,0.5,1.25
"LOC002","Italy","fire",76882,2901000,1,10000,1886000,1.1,0.00195,6222.645,0.646673560841089,4024.02,29230.8487078058,16627.4343539029,20784.2929423786,598416,3,27460.00725,0.5,1.25
"LOC003","France","flood",64421,1737000,1,0,686000,1.05,0.0013,2371.005,0.394933793897524,936.39,6802.02246050026,3869.20623025013,4836.50778781266,598416,3,27460.00725,0.5,1.25
"LOC004","Italy","theft",83081,1711000,1,5000,1554000,1.1,0.00195,3670.095,0.905318527177089,3322.605,24135.7061025539,13729.155551277,17161.4444390962,598416,3,27460.00725,0.5,1.25
"LOC005","Italy","flood",23047,1086000,1,0,482000,1.1,0.00195,2329.47,0.443830570902394,1033.89,7510.27136309296,4272.08068154648,5340.1008519331,598416,3,27460.00725,0.5,1.25
"LOC006","Italy","flood",30577,318000,0.9,0,301000,1.1,0.00195,613.899,0.946540880503145,581.0805,4221.02180967195,2401.05115483598,3001.31394354497,598416,3,27460.00725,0.5,1.25
"LOC007","France","flood",38659,1285000,0.9,10000,1183000,1.05,0.0013,1578.6225,0.91284046692607,1441.0305,10467.7771305395,5954.40381526977,7443.00476908721,598416,3,27460.00725,0.5,1.25
"LOC008","France","flood",98648,2172000,0.9,1000,859000,1.05,0.0013,2668.302,0.395027624309392,1054.053,7656.73723614913,4355.39511807456,5444.2438975932,598416,3,27460.00725,0.5,1.25
"LOC009","Italy","flood",36588,1785000,1.2,0,1517000,1.1,0.00195,4594.59,0.849859943977591,3904.758,28364.5186501544,16134.6383250772,20168.2979063465,598416,3,27460.00725,0.5,1.25
"LOC010","Spain","theft",21557,897000,1.1,500,554000,0.95,0.0012,1124.838,0.617056856187291,694.089,5041.92587232474,2868.00743616237,3585.00929520296,598416,3,27460.00725,0.5,1.25
"LOC011","Spain","flood",86659,1086000,1.2,10000,429000,0.95,0.0012,1485.648,0.385819521178637,573.192,4163.71902538372,2368.45551269186,2960.56939086483,598416,3,27460.00725,0.5,1.25
"LOC012","France","theft",69704,1090000,1,0,1002000,1.05,0.0013,1487.85,0.919266055045872,1367.73,9935.31560557035,5651.52280278518,7064.40350348147,598416,3,27460.00725,0.5,1.25
"LOC013","Spain","flood",24010,317000,0.9,10000,170000,0.95,0.0012,325.242,0.504731861198738,164.16,1192.47322922684,678.316614613421,847.895768266776,598416,3,27460.00725,0.5,1.25
"LOC014","France","flood",86465,717000,1.1,10000,375000,1.05,0.0013,1076.5755,0.509065550906555,548.0475,3981.06708147355,2264.55729073677,2830.69661342097,598416,3,27460.00725,0.5,1.25
"LOC015","France","theft",66310,1295000,1,0,755000,1.05,0.0013,1767.675,0.583011583011583,1030.575,7486.1909004048,4258.3829502024,5322.978687753,598416,3,27460.00725,0.5,1.25
"LOC016","Spain","flood",6674,2133000,0.9,500,1355000,0.95,0.0012,2188.458,0.635021097046414,1389.717,10095.0311811735,5742.37409058674,7177.96761323343,598416,3,27460.00725,0.5,1.25
"LOC017","Italy","flood",70968,719000,0.9,1000,401000,1.1,0.00195,1388.0295,0.556328233657858,772.2,5609.33130853416,3190.76565426708,3988.45706783385,598416,3,27460.00725,0.5,1.25
"LOC018","Italy","fire",5634,814000,0.9,500,510000,1.1,0.00195,1571.427,0.625921375921376,983.58975,7144.88575424539,4064.23775212269,5080.29719015337,598416,3,27460.00725,0.5,1.25
