"claim_id","date_of_loss","country","paid","outstanding"
"CL0001",2020-03-25,"France",17173,10968
"CL0002",2020-09-08,"France",18644,12170
"CL0003",2021-02-28,"France",23112,2459
"CL0004",2021-10-07,"France",29996,17529
"CL0005",2022-01-20,"France",52838,16847
"CL0006",2022-03-01,"France",45175,925
"CL0007",2022-04-05,"France",57356,14140
"CL0008",2022-07-26,"France",20583,10696
"CL0009",2023-02-14,"France",49626,18909
"CL0010",2024-01-07,"France",8827,18241
"CL0011",2024-01-29,"France",8357,9120
"CL0012",2024-09-04,"France",43958,15310
