"location_id","country","peril","postcode","tiv","sra_adj","deductible","limit","country_factor","base_rate","base_premium","layer_share","exposure_premium","experience_premium","risk_premium","model_price","total_incurred","n_claim_years","exposure_premium_total","credibility","expenses_factor"
"LOC001","France","fire",11121,310000,0.9,5000,150000,1.05,0.0013,380.835,0.467741935483871,178.1325,2287.18432561959,1232.65841280979,1540.82301601224,522959,5,8145.9105,0.5,1.25
"LOC002","France","theft",23987,923000,1,10000,552000,1.05,0.0013,1259.895,0.587215601300108,739.83,9499.26363590663,5119.54681795331,6399.43352244164,522959,5,8145.9105,0.5,1.25
"LOC003","France","fire",55648,807000,1.1,5000,650000,1.05,0.0013,1211.7105,0.799256505576208,968.4675,12434.9216783685,6701.69458918428,8377.11823648034,522959,5,8145.9105,0.5,1.25
"LOC004","France","flood",3100,356000,1,10000,225000,1.05,0.0013,485.94,0.603932584269663,293.475,3768.15808435411,2030.81654217705,2538.52067772132,522959,5,8145.9105,0.5,1.25
"LOC005","France","flood",97892,119000,1,500,64000,1.05,0.0013,162.435,0.533613445378151,86.6775,1112.92110863482,599.799304317409,749.749130396761,522959,5,8145.9105,0.5,1.25
"LOC006","France","theft",57132,105000,1,10000,60000,1.05,0.0013,143.325,0.476190476190476,68.25,876.315833570722,472.282916785361,590.353645981701,522959,5,8145.9105,0.5,1.25
"LOC007","France","theft",94345,326000,1,500,147000,1.05,0.0013,444.99,0.449386503067485,199.9725,2567.60539236222,1383.78894618111,1729.73618272639,522959,5,8145.9105,0.5,1.25
"LOC008","France","flood",1227,427000,1.1,500,2e+05,1.05,0.0013,641.1405,0.467213114754098,299.54925,3846.1501935419,2072.84972177095,2591.06215221369,522959,5,8145.9105,0.5,1.25
"LOC009","France","fire",35360,262000,0.9,5000,182000,1.05,0.0013,321.867,0.675572519083969,217.4445,2791.94224575632,1504.69337287816,1880.8667160977,522959,5,8145.9105,0.5,1.25
"LOC010","France","flood",34965,757000,1,1000,605000,1.05,0.0013,1033.305,0.797886393659181,824.46,10585.8952695343,5705.17763476716,7131.47204345895,522959,5,8145.9105,0.5,1.25
"LOC011","France","flood",44710,128000,1.2,0,50000,1.05,0.0013,209.664,0.390625,81.9,1051.57900028487,566.739500142433,708.424375178042,522959,5,8145.9105,0.5,1.25
"LOC012","France","theft",89201,956000,1,10000,634000,1.05,0.0013,1304.94,0.652719665271967,851.76,10936.4216029626,5894.09080148131,7367.61350185163,522959,5,8145.9105,0.5,1.25
"LOC013","France","theft",60303,184000,1,5000,165000,1.05,0.0013,251.16,0.869565217391304,218.4,2804.21066742631,1511.30533371316,1889.13166714144,522959,5,8145.9105,0.5,1.25
"LOC014","France","fire",45627,121000,1,1000,97000,1.05,0.0013,165.165,0.793388429752066,131.04,1682.52640045579,906.783200227893,1133.47900028487,522959,5,8145.9105,0.5,1.25
"LOC015","France","flood",8012,243000,1,0,126000,1.05,0.0013,331.695,0.518518518518518,171.99,2208.31590059822,1190.15295029911,1487.69118787389,522959,5,8145.9105,0.5,1.25
"LOC016","France","flood",53104,133000,0.9,500,51000,1.05,0.0013,163.3905,0.379699248120301,62.03925,796.571092715787,429.305171357893,536.631464197367,522959,5,8145.9105,0.5,1.25
"LOC017","France","fire",69694,382000,1,1000,268000,1.05,0.0013,521.43,0.698952879581152,364.455,4679.52655126766,2521.99077563383,3152.48846954229,522959,5,8145.9105,0.5,1.25
"LOC018","France","theft",85185,174000,1,5000,153000,1.05,0.0013,237.51,0.850574712643678,202.02,2593.89486736934,1397.95743368467,1747.44679210584,522959,5,8145.9105,0.5,1.25
"LOC019","France","flood",42686,527000,1,500,350000,1.05,0.0013,719.355,0.663187855787476,477.0675,6125.44767665935,3301.25758832967,4126.57198541209,522959,5,8145.9105,0.5,1.25
"LOC020","France","theft",14537,140000,1.1,0,110000,1.05,0.0013,210.21,0.785714285714286,165.165,2120.68431724115,1142.92465862057,1428.65582327572,522959,5,8145.9105,0.5,1.25
"LOC021","France","fire",67669,142000,1,5000,92000,1.05,0.0013,193.83,0.612676056338028,118.755,1524.78955041306,821.772275206528,1027.21534400816,522959,5,8145.9105,0.5,1.25
"LOC022","France","flood",40835,182000,1,500,1e+05,1.05,0.0013,248.43,0.546703296703297,135.8175,1743.86850880574,939.843004402868,1174.80375550359,522959,5,8145.9105,0.5,1.25
"LOC023","France","flood",17112,6e+05,1.1,0,585000,1.05,0.0013,900.9,0.975,878.3775,11278.1847780552,6078.2811390276,7597.8514237845,522959,5,8145.9105,0.5,1.25
"LOC024","France","theft",14650,267000,1,1000,252000,1.05,0.0013,364.455,0.940074906367041,342.615,4399.10548452503,2370.86024226251,2963.57530282814,522959,5,8145.9105,0.5,1.25
"LOC025","France","fire",96077,115000,1,1000,51000,1.05,0.0013,156.975,0.434782608695652,68.25,876.315833570722,472.282916785361,590.353645981702,522959,5,8145.9105,0.5,1.25
