"policy_id","location_id","country","peril","postcode","tiv","sra_adj","deductible","limit","country_factor","base_rate","base_premium","layer_share","exposure_premium","experience_premium","risk_premium","model_price","total_incurred","n_claim_years","exposure_premium_total","credibility","expenses_factor"
"policy-001","LOC001","United Kingdom","flood",89260,539000,1,0,454000,1,0.001,539,0.842300556586271,454,24576.9359940872,12515.4679970436,15644.3349963045,183109,2,1691.25,0.5,1.25
"policy-001","LOC002","United Kingdom","theft",12223,562000,1.1,5000,390000,1,0.001,618.2,0.685053380782918,423.5,22925.8422764228,11674.6711382114,14593.3389227642,183109,2,1691.25,0.5,1.25
"policy-001","LOC003","United Kingdom","flood",34712,169000,0.9,0,78000,1,0.001,152.1,0.461538461538462,70.2,3800.2222616408,1935.2111308204,2419.0139135255,183109,2,1691.25,0.5,1.25
"policy-001","LOC004","United Kingdom","fire",65409,462000,0.9,10000,168000,1,0.001,415.8,0.341991341991342,142.2,7697.88611973393,3920.04305986696,4900.0538248337,183109,2,1691.25,0.5,1.25
"policy-001","LOC005","United Kingdom","flood",78953,326000,1,5000,117000,1,0.001,326,0.343558282208589,112,6063.03266814486,3087.51633407243,3859.39541759054,183109,2,1691.25,0.5,1.25
"policy-001","LOC006","United Kingdom","flood",82300,260000,1.1,500,134000,1,0.001,286,0.513461538461538,146.85,7949.61024390244,4048.23012195122,5060.28765243902,183109,2,1691.25,0.5,1.25
"policy-001","LOC007","United Kingdom","theft",75742,388000,1,500,298000,1,0.001,388,0.766752577319588,297.5,16104.9305247598,8201.2152623799,10251.5190779749,183109,2,1691.25,0.5,1.25
"policy-001","LOC008","United Kingdom","theft",97953,128000,0.9,1000,51000,1,0.001,115.2,0.390625,45,2436.0399113082,1240.5199556541,1550.64994456763,183109,2,1691.25,0.5,1.25
"policy-002","LOC001","Spain","flood",49705,2770000,1.2,5000,2665000,0.95,0.0012,3789.36,0.96028880866426,3638.88,30136.3747339107,16887.6273669554,21109.5342086942,598416,3,24085.6665,0.5,1.25
"policy-002","LOC002","Italy","fire",76882,2901000,1,10000,1886000,1.1,0.0015,4786.65,0.646673560841089,3095.4,25635.3972517223,14365.3986258612,17956.7482823264,598416,3,24085.6665,0.5,1.25
"policy-002","LOC003","France","flood",64421,1737000,1,0,686000,1.05,0.0013,2371.005,0.394933793897524,936.39,7754.96854446606,4345.67927223303,5432.09909029129,598416,3,24085.6665,0.5,1.25
"policy-002","LOC004","Italy","theft",83081,1711000,1,5000,1554000,1.1,0.0015,2823.15,0.905318527177089,2555.85,21166.9671337515,11861.4085668758,14826.7607085947,598416,3,24085.6665,0.5,1.25
"policy-002","LOC005","Italy","flood",23047,1086000,1,0,482000,1.1,0.0015,1791.9,0.443830570902394,795.3,6586.49332373675,3690.89666186838,4613.62082733547,598416,3,24085.6665,0.5,1.25
"policy-002","LOC006","Italy","flood",30577,318000,0.9,0,301000,1.1,0.0015,472.23,0.946540880503145,446.985,3701.82788672259,2074.40644336129,2593.00805420162,598416,3,24085.6665,0.5,1.25
